id,image,label
27,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_13.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_13_mask.tif
28,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_14.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_14_mask.tif
29,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_15.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_15_mask.tif
30,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_16.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_16_mask.tif
31,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_17.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_17_mask.tif
32,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_18.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_18_mask.tif
33,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_19.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_19_mask.tif
34,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_2.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_2_mask.tif
35,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_20.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_20_mask.tif
36,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_3.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_3_mask.tif
37,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_4.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_4_mask.tif
38,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_5.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_5_mask.tif
39,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_6.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_6_mask.tif
40,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_7.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_7_mask.tif
41,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_8.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_8_mask.tif
42,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_9.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_9_mask.tif
43,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_1.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_1_mask.tif
44,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_10.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_10_mask.tif
45,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_11.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_11_mask.tif
46,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_12.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_12_mask.tif
47,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_13.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_13_mask.tif
48,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_14.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_14_mask.tif
49,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_15.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_15_mask.tif
50,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_16.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_16_mask.tif
51,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_17.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_17_mask.tif
52,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_18.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_18_mask.tif
53,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_19.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_19_mask.tif
54,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_2.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_2_mask.tif
55,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_20.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_20_mask.tif
56,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_3.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_3_mask.tif
57,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_4.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_4_mask.tif
58,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_5.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_5_mask.tif
59,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_6.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_6_mask.tif
60,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_7.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_7_mask.tif
61,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_8.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_8_mask.tif
62,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_9.tif,./archive/kaggle_3m\TCGA_CS_4943_20000902\TCGA_CS_4943_20000902_9_mask.tif
63,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_1.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_1_mask.tif
64,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_10.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_10_mask.tif
65,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_11.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_11_mask.tif
66,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_12.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_12_mask.tif
67,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_13.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_13_mask.tif
68,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_14.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_14_mask.tif
69,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_15.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_15_mask.tif
70,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_16.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_16_mask.tif
71,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_17.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_17_mask.tif
72,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_18.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_18_mask.tif
73,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_19.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_19_mask.tif
74,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_2.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_2_mask.tif
75,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_20.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_20_mask.tif
76,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_3.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_3_mask.tif
77,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_4.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_4_mask.tif
78,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_5.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_5_mask.tif
79,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_6.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_6_mask.tif
80,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_7.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_7_mask.tif
81,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_8.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_8_mask.tif
82,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_9.tif,./archive/kaggle_3m\TCGA_CS_4944_20010208\TCGA_CS_4944_20010208_9_mask.tif
83,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_1.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_1_mask.tif
84,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_10.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_10_mask.tif
85,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_11.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_11_mask.tif
86,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_12.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_12_mask.tif
87,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_13.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_13_mask.tif
88,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_14.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_14_mask.tif
89,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_15.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_15_mask.tif
90,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_16.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_16_mask.tif
91,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_17.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_17_mask.tif
92,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_18.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_18_mask.tif
93,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_19.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_19_mask.tif
94,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_2.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_2_mask.tif
95,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_20.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_20_mask.tif
96,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_3.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_3_mask.tif
97,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_4.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_4_mask.tif
98,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_5.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_5_mask.tif
99,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_6.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_6_mask.tif
100,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_7.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_7_mask.tif
101,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_8.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_8_mask.tif
102,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_9.tif,./archive/kaggle_3m\TCGA_CS_5393_19990606\TCGA_CS_5393_19990606_9_mask.tif
103,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_1.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_1_mask.tif
104,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_10.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_10_mask.tif
105,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_11.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_11_mask.tif
106,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_12.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_12_mask.tif
107,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_13.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_13_mask.tif
108,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_14.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_14_mask.tif
109,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_15.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_15_mask.tif
110,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_16.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_16_mask.tif
111,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_17.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_17_mask.tif
112,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_18.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_18_mask.tif
113,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_19.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_19_mask.tif
114,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_2.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_2_mask.tif
115,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_20.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_20_mask.tif
116,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_3.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_3_mask.tif
117,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_4.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_4_mask.tif
118,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_5.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_5_mask.tif
119,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_6.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_6_mask.tif
120,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_7.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_7_mask.tif
121,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_8.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_8_mask.tif
122,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_9.tif,./archive/kaggle_3m\TCGA_CS_5395_19981004\TCGA_CS_5395_19981004_9_mask.tif
123,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_1.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_1_mask.tif
124,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_10.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_10_mask.tif
125,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_11.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_11_mask.tif
126,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_12.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_12_mask.tif
127,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_13.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_13_mask.tif
128,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_14.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_14_mask.tif
129,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_15.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_15_mask.tif
130,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_16.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_16_mask.tif
131,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_17.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_17_mask.tif
132,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_18.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_18_mask.tif
133,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_19.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_19_mask.tif
134,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_2.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_2_mask.tif
135,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_20.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_20_mask.tif
136,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_21.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_21_mask.tif
137,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_22.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_22_mask.tif
138,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_23.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_23_mask.tif
139,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_24.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_24_mask.tif
140,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_3.tif,./archive/kaggle_3m\TCGA_CS_5396_20010302\TCGA_CS_5396_20010302_3_mask.tif
